question,option1,option2,option3,option4,correct,topic (optional),
"There have been concerns in your network that the wireless network component is not sufficiently secure. You perform a vulnerability scan of the wireless network and find that it is using an old encryption protocol that was designed to mimic wired encryption, what encryption protocol is being used?",A. WEP,B. RADIUS,C. WPA,D. WPA3,A. WEP,Wireless Security,
"Robin, an attacker, is attempting to bypass the firewalls of an organization through the DNS tunneling method in order to exfiltrate data. He is using the NSTX tool for bypassing the firewalls. On which of the following ports should Robin run the NSTX tool?",A. Port 53,B. Port 23,C. Port 50,D. Port 80,A. Port 53,DNS Tunneling,
Your organization has signed an agreement with a web hosting provider that requires you to take full responsibility of the maintenance of the cloud-based resources. Which of the following models covers this?,A. Platform as a service,B. Software as a service,C. Functions as a service,D. Infrastructure as a service,D. Infrastructure as a service,Cloud Computing,
"Henry is a penetration tester who works for XYZ organization. While performing enumeration on a client organization, he queries the DNS server for a specific cached DNS record. Further, by using this cached record, he determines the sites recently visited by the organization's user. What is the enumeration technique used by Henry on the organization?",A. DNS zone walking,B. DNS cache snooping,C. DNS SEC zone walking,D. DNS cache poisoning,B. DNS cache snooping,Enumeration,
Which type of security feature stops vehicles from crashing through the doors of a building?,A. Bollards,B. Receptionist,C. Mantrap,D. Turnstile,A. Bollards,Physical Security,
"This type of injection attack does not show any error message. It is difficult to exploit as it returns information when the application is given SQL payloads that elicit a true or false response from the server. By observing the response, an attacker can extract sensitive information. What type of attack is this?",A. Time-based SQL injection,B. Union SQL injection,C. Error-based SQL injection,D. Blind SQL injection,D. Blind SQL injection,SQL Injection,
"You just set up a security system in your network. In what kind of system would you find the following string of characters used as a rule within its configuration? alert tcp any any -> 192.168.100.0/24 21 (msg: ""FTP on the network!"");",A. A firewall IPTable,B. FTP Server rule,C. A Router IPTable,D. An Intrusion Detection System,D. An Intrusion Detection System,IDS,
"What ports should be blocked on the firewall to prevent NetBIOS traffic from not coming through the firewall if your network is comprised of Windows NT, 2000, and XP?",A. 110,B. 135,C. 139,D. 161,C. 139,NetBIOS,
Todd has been asked by the security officer to purchase a counter-based authentication system. Which of the following best describes this type of system?,A. A biometric system that bases authentication decisions on behavioral attributes.,B. A biometric system that bases authentication decisions on physical attributes.,C. An authentication system that creates one-time passwords that are encrypted with secret keys.,D. An authentication system that uses passphrases that are converted into virtual passwords.,C. An authentication system that creates one-time passwords that are encrypted with secret keys.,Authentication,
Which of the following is a component of a risk assessment?,A. Administrative safeguards,B. Physical security,C. DMZ,D. Logical interface,A. Administrative safeguards,Risk Assessment,
